                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3768,                 3.8358,                 2.1842,                0.30791,                0.32937,                0.24772,                 0.1268,                 1.8018,                 2.6989,                 1.7971,              0.0033302,              0.0033302,              0.0033302
                      2,                 1.7668,                 2.8539,                 1.7329,                0.51501,                0.40075,                0.41512,                0.23697,                 1.5246,                 2.1157,                 1.5862,              0.0065976,              0.0065976,              0.0065976
                      3,                 1.6149,                 2.4848,                 1.6083,                0.48378,                0.43672,                0.43009,                0.25557,                  1.463,                 2.0205,                 1.5075,              0.0097989,              0.0097989,              0.0097989
                      4,                 1.5491,                 2.2872,                  1.547,                0.53575,                0.49429,                0.48792,                0.28932,                 1.4209,                 1.9083,                 1.4543,               0.009703,               0.009703,               0.009703
                      5,                 1.4927,                 2.1365,                 1.4965,                0.55908,                0.51995,                0.51399,                0.32766,                 1.3331,                 1.8801,                 1.4044,               0.009604,               0.009604,               0.009604
                      6,                 1.4246,                 2.0001,                 1.4403,                0.61995,                0.52627,                0.55342,                0.35099,                 1.2995,                 1.6482,                 1.3626,               0.009505,               0.009505,               0.009505
                      7,                 1.3976,                  1.921,                 1.4237,                0.64631,                0.50934,                0.55922,                0.35847,                 1.2846,                 1.6597,                 1.3488,               0.009406,               0.009406,               0.009406
                      8,                 1.3712,                 1.8577,                 1.4101,                0.63293,                0.56326,                0.60328,                0.39051,                 1.2607,                 1.5062,                 1.3354,               0.009307,               0.009307,               0.009307
                      9,                 1.3549,                 1.7995,                  1.388,                0.67878,                0.57275,                0.62124,                0.40964,                 1.2297,                 1.4983,                 1.3159,               0.009208,               0.009208,               0.009208
                     10,                 1.3339,                 1.7709,                 1.3771,                0.68564,                0.58524,                0.63929,                0.41255,                 1.2332,                 1.4052,                 1.3203,               0.009109,               0.009109,               0.009109
                     11,                 1.3148,                 1.7069,                  1.362,                0.67008,                0.59192,                0.64833,                0.42643,                 1.2337,                 1.3947,                 1.3104,                0.00901,                0.00901,                0.00901
                     12,                 1.3024,                 1.6659,                 1.3511,                0.71449,                 0.5929,                 0.6604,                0.43912,                 1.2011,                 1.3768,                 1.2901,               0.008911,               0.008911,               0.008911
                     13,                 1.2816,                 1.6307,                 1.3417,                 0.7063,                0.59497,                0.66968,                0.44504,                  1.195,                 1.3698,                 1.2905,               0.008812,               0.008812,               0.008812
                     14,                 1.2844,                 1.6154,                 1.3376,                0.69906,                0.61022,                0.67405,                0.44952,                 1.1829,                 1.3186,                 1.2634,               0.008713,               0.008713,               0.008713
                     15,                 1.2594,                 1.5927,                 1.3222,                0.74838,                0.59454,                0.67742,                0.45072,                 1.1909,                  1.328,                 1.2775,               0.008614,               0.008614,               0.008614
                     16,                 1.2582,                 1.5669,                 1.3209,                0.73015,                0.63044,                0.69366,                0.46736,                 1.1517,                 1.2631,                 1.2593,               0.008515,               0.008515,               0.008515
                     17,                 1.2452,                 1.5337,                 1.3153,                0.74272,                0.61728,                0.69474,                0.46977,                  1.153,                 1.2636,                 1.2622,               0.008416,               0.008416,               0.008416
                     18,                 1.2347,                 1.5093,                 1.3035,                0.72238,                0.64012,                0.69979,                0.46651,                 1.1666,                 1.2529,                 1.2574,               0.008317,               0.008317,               0.008317
                     19,                 1.2204,                 1.4947,                 1.2996,                0.74191,                0.62987,                0.70651,                0.47857,                 1.1376,                 1.2189,                 1.2492,               0.008218,               0.008218,               0.008218
                     20,                 1.2106,                 1.4728,                 1.2895,                0.70621,                0.65887,                0.70289,                0.48252,                 1.1372,                 1.2261,                 1.2426,               0.008119,               0.008119,               0.008119
                     21,                 1.2175,                 1.4645,                 1.2931,                0.71409,                0.65367,                0.71785,                0.49088,                 1.1217,                 1.2008,                 1.2317,                0.00802,                0.00802,                0.00802
                     22,                 1.2041,                 1.4313,                 1.2894,                0.71997,                0.66212,                0.72425,                 0.4991,                 1.1308,                 1.1695,                 1.2429,               0.007921,               0.007921,               0.007921
                     23,                 1.1969,                 1.4317,                 1.2822,                0.75788,                0.65468,                0.73538,                0.49917,                 1.1327,                 1.1711,                 1.2351,               0.007822,               0.007822,               0.007822
                     24,                 1.1964,                 1.4021,                 1.2773,                0.74705,                0.65567,                 0.7275,                0.49703,                 1.1284,                 1.1633,                  1.242,               0.007723,               0.007723,               0.007723
                     25,                 1.1843,                 1.3842,                 1.2674,                0.74087,                  0.649,                0.72137,                0.50682,                 1.1047,                 1.1472,                 1.2203,               0.007624,               0.007624,               0.007624
                     26,                 1.1733,                 1.3646,                 1.2625,                0.73592,                0.65637,                 0.7311,                0.50279,                 1.1259,                   1.14,                  1.237,               0.007525,               0.007525,               0.007525
                     27,                  1.179,                 1.3613,                 1.2628,                0.77064,                0.65968,                0.74558,                0.51202,                 1.0891,                 1.1134,                 1.2096,               0.007426,               0.007426,               0.007426
                     28,                 1.1696,                 1.3586,                 1.2598,                0.73274,                0.68392,                0.74141,                 0.5165,                 1.0894,                 1.0985,                 1.2029,               0.007327,               0.007327,               0.007327
                     29,                 1.1655,                 1.3322,                 1.2535,                0.76073,                0.68674,                0.75068,                0.52193,                 1.0921,                 1.1046,                 1.2122,               0.007228,               0.007228,               0.007228
                     30,                  1.149,                 1.3144,                 1.2407,                0.75133,                0.67333,                0.74313,                 0.5175,                 1.0913,                 1.0856,                  1.211,               0.007129,               0.007129,               0.007129
                     31,                 1.1485,                 1.2997,                 1.2394,                0.79041,                0.67454,                0.75727,                0.52684,                 1.0767,                 1.0708,                 1.2075,                0.00703,                0.00703,                0.00703
                     32,                 1.1433,                 1.2836,                 1.2384,                0.76372,                0.68459,                0.75464,                0.52195,                 1.0915,                 1.0828,                 1.2076,               0.006931,               0.006931,               0.006931
                     33,                 1.1357,                 1.2734,                  1.238,                 0.7637,                0.69351,                0.75965,                0.53358,                 1.0655,                 1.0587,                 1.1865,               0.006832,               0.006832,               0.006832
